id,title,place,description,siteUrl,favoritesCount,commentsCount,publicationDate
51362,Сладкий вкус справедливости: рецензия на фильм «Револьвер»,null,<p>Кинопрокатная компания <a class="external-link" href="https://provzglyad.com/" rel="nofollow" target="_blank"><strong><u>«Про:Взгляд»</u></strong></a> регулярно приносит на российские экраны жемчужины кинематографа со всего мира. В этот раз прокатчик удивляет отборным южнокорейским кино с мрачной атмосферой и медитативным развитием сюжета. Кроме того, в главных ролях наверняка знакомые российскому зрителю лица — лауреатка Каннского кинофестиваля Чон До Ён, Чи Чхан Ук из «Большего зла» и Ли Джон Джэ из «Игры в кальмара». Какой получилась криминальная драма, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/retsenziya-na-film-revolver/,0,0,2024-09-12
51360,Для москвичей составили список книг об искусственном интеллекте,null,<p>Издания познакомят с историей и функционалом новейших разработок.</p>,https://kudago.com/msk/news/dlya-moskvichej-sostavili-spisok/,0,0,2024-09-12
51358,В России могут организовать посадку на поезд по биометрии,null,<p>Не придётся показывать документы или билет.</p>,https://kudago.com/all/news/v-rossii-mogut-organizovat/,0,0,2024-09-12
51354,Вышла аудиоверсия книги «Канашибари. Пока не погаснет последний фонарь. Том II»,null,<p>Герои снова проверяют себя на прочность в мрачных испытаниях.</p>,https://kudago.com/all/news/vyishla-audioversiya-knigi/,0,0,2024-09-12
51353,Погода в Москве на 12 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-12-sentyabrya-12-09-2024/,0,0,2024-09-12
51351,Вышел трейлер байопика о Дональде Трампе,null,<p>В ленте расскажут о молодости будущего президента США.</p>,https://kudago.com/all/news/trejler-bajopika-o-donalde-trampe/,0,0,2024-09-11
51318,Новая культура зовёт: гид по кинофестивалю Beat Weekend 2024,null,<p>С 12 по 22 сентября в 27 городах России пройдёт фестиваль документального кино о новой культуре Beat Weekend. Вот уже несколько лет создатели фестиваля собирают региональную спецпрограмму, куда входят лучшие показы московского Beat Film Festival. Этот год не стал исключением, и авторам есть чем удивить поклонников документального кино. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/gid-po-kinofestivalyu-beat-weekend-2024/,0,0,2024-09-11
51349,Опубликован новый трейлер мультфильма «Дикий робот»,null,<p>Мировая премьера — в конце сентября.</p>,https://kudago.com/all/news/trejler-multfilma-dikij-robot/,0,0,2024-09-11
51350,На юге Москвы открыли большой кинологический парк,null,<p>Здесь можно проводить тренировки и соревнования. </p>,https://kudago.com/msk/news/na-yuge-moskvyi-otkryili-bolshoj/,0,0,2024-09-11
51348,В Строгине пройдёт костюмированный заплыв на сапбордах,null,<p>Для участников готовят развлекательную программу.</p>,https://kudago.com/msk/news/v-strogine-projdyot/,0,0,2024-09-11
51347,В Калошином переулке нашли коллекцию игрушек XVII—XIX веков,null,<p>Для детей мастерили керамических лошадок, куриц и человечков.</p>,https://kudago.com/msk/news/v-kaloshinom-pereulke-nashli/,0,0,2024-09-11
51345,В России могут запретить квадроберов,null,<p>Подражание животным опасно для подростков и их окружения, считают инициаторы идеи.</p>,https://kudago.com/all/news/v-rossii-mogut-zapretit/,0,0,2024-09-11
51346,Стала известна стоимость проезда по ВСМ,null,<p>Ввод в эксплуатацию намечен через четыре года.</p>,https://kudago.com/all/news/stala-izvestna-stoimost-proezda-po-vcm/,0,0,2024-09-11
51344,Белки в московских лесах начали готовиться к зиме,null,<p>Рассеянные зверьки нередко забывают про свои запасы.</p>,https://kudago.com/msk/news/belki-moskvy-gotovyatsya-k-zime/,0,0,2024-09-11
51343,На трассе М-11 хотят сделать музыкальную разметку,null,<p>Она помогает водителям следить за расстоянием до обочины.</p>,https://kudago.com/all/news/na-trasse-m-11-hotyat-sdelat/,0,0,2024-09-11
51317,Мир искусства: 3 канала в VK Видео для вдохновения и творчества,null,<p>Узнайте больше о мире искусства и расширяйте свои горизонты! KudaGo и VK Видео выбрали для вас видеоблоги, где искусство становится доступным каждому. Здесь можно познакомиться с выдающимися произведениями, узнать много нового от экспертов в сфере культуры и получить заряд вдохновения для собственного творчества.</p>,https://kudago.com/all/news/mir-iskusstva-3-kanala-v-vk/,1,0,2024-09-11
51339,Улицы Москвы украсили ещё 11 граффити,null,<p>Работы молодых художников отбирали сами горожане.</p>,https://kudago.com/msk/news/ulitsyi-moskvyi-ukrasili-graffiti/,0,0,2024-09-11
51338,В Москве побит температурный рекорд 75-летней давности,null,<p>Осень удивляет хорошей погодой.</p>,https://kudago.com/msk/news/v-moskve-pobit-temperaturnyij-rekord/,0,0,2024-09-11
51337,Погода в Москве на 11 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-11-sentyabrya-11-09-2024/,0,0,2024-09-11
31702,Перфекционизм и чёрный юмор — что объединяет фильмы Стэнли Кубрика,null,<p>Стэнли Кубрик по праву считается одним из самых значимых режиссёров мирового кинематографа. Он получил признание ещё при жизни, и до сих пор его фильмы пользуются огромной популярностью. «Сияние», «Заводной апельсин», «Цельнометаллическая оболочка» — каждая из его 13 картин самобытна и не похожа на другие. Однако даже у такого многогранного автора есть чёткая методология, которая прослеживается в каждой работе. Мы решили вспомнить, что объединяет картины гениального режиссёра. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/absolyutnyij-perfektsionizm-i/,3,0,2024-09-10
51336,Стартовал кастинг для нового сериала про Гарри Поттера,null,<p>Исполнителей ищут в Британии и Ирландии.</p>,https://kudago.com/all/news/startoval-kasting-dlya-novogo/,0,0,2024-09-10
51335,Стало известно, кто снимет четвёртого «Человека-паука»,null,<p>Стороны ведут переговоры.</p>,https://kudago.com/all/news/kto-snimet-chetvertogo-cheloveka-pauka/,0,0,2024-09-10
51334,Создатели нового фильма «Буратино» запустили масштабный кастинг,null,<p>Любой желающий может стать частью актёрской команды.</p>,https://kudago.com/all/news/kasting-v-buratino/,0,0,2024-09-10
51332,В Московском зоопарке могут появиться золотые обезьяны,null,<p>Приматы очень ценятся в Китае.</p>,https://kudago.com/msk/news/v-moskovskom-zooparke-mogut/,0,0,2024-09-10
51331,«Победа» анонсировала распродажу билетов,null,<p>Скидки на все направления.</p>,https://kudago.com/all/news/pobeda-anonsirovala-rasprodazhu/,0,0,2024-09-10
51320,Linkin Park: легендарная группа в цифрах,null,<p>На прошлой неделе группа Linkin Park <a href="https://kudago.com/all/news/linkin-park-anonsirovali-tur-i/">объявила о возвращении на сцену, гастрольном туре и грядущем выпуске очередного альбома</a>. Состав команды пополнился новыми участниками — и теперь готов к покорению новых высот!</p>,https://kudago.com/all/news/linkin-park-v-tsifrah/,2,0,2024-09-10
51329,В Москве открыли памятник Нельсону Манделе,null,<p>Экс-президент ЮАР известен своей борьбой за равноправие.</p>,https://kudago.com/msk/news/v-moskve-otkryili-pamyatnik-mandele/,0,0,2024-09-10
51328,В Москву возвращается июльская жара,null,<p>И это ещё не бабье лето.</p>,https://kudago.com/msk/news/v-moskvu-vozvraschaetsya-iyulskaya/,0,0,2024-09-10
51325,Apple провела презентацию новинок 2024 года,null,<p>Покупателям представили улучшенные модели смартфонов, часов и наушников.</p>,https://kudago.com/all/news/apple-provela-prezentatsiyu/,0,0,2024-09-10
51323,Москвичи смогут наблюдать северное сияние,null,<p>Магнитная буря раскрасит небо в яркие цвета.</p>,https://kudago.com/msk/news/moskvichi-smogut-nablyudat-severnoe-siyanie/,0,0,2024-09-10
51321,Погода в Москве на 10 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-10-sentyabrya-10-09-2024/,0,0,2024-09-10
51314,В Адыгее сплели самую длинную в истории  России сырную косу,null,<p>Её изготовили во время гастрономического фестиваля.</p>,https://kudago.com/all/news/samaya-dlinnaya-syrnaya-kosa-rossii/,0,0,2024-09-09
51315,Стал известен победитель чемпионата по «Камень, ножницы, бумага» в Москве,null,<p>Выиграл участник из ЮАО.</p>,https://kudago.com/msk/news/pobeditel-chempionata-po-kamen-nozhnicy-bumaga-v-moskve/,0,0,2024-09-09
51313,У Москвы появился фирменный чай,null,<p>Победил ягодно-цветочный купаж. </p>,https://kudago.com/msk/news/u-moskvy-poyavilsya-firmennyj-chaj/,0,0,2024-09-09
51312,«Сёгун» установил рекорд по числу выигранных Creative Arts Emmys,null,<p>Также награда досталась Джейми Ли Кёртис.</p>,https://kudago.com/all/news/syogun-ustanovil-rekord-po/,0,0,2024-09-09
51311,В Москве открыли первую очередь кинопарка «Москино»,null,<p>На территории оборудовали павильоны и натурные локации для разнообразных съёмок. </p>,https://kudago.com/msk/news/v-moskve-otkryili-pervuyu-ochered/,0,0,2024-09-09
51310,Стали известны лауреаты Венецианского кинофестиваля,null,<p>Главный приз получил Педро Альмодовар.</p>,https://kudago.com/all/news/laureaty-venecianskogo-kinofestivalya-2024/,0,0,2024-09-09
51309,The Weeknd поделился обложкой нового альбома,null,<p>И его названием.</p>,https://kudago.com/all/news/the-weeknd-podelilsya-oblozhkoj/,0,0,2024-09-09
51306,На территории МГТУ имени Баумана открыли несколько крупных объектов,null,<p>У студентов появилась вся необходимая инфраструктура для учёбы и общения.</p>,https://kudago.com/msk/news/na-territorii-mgtu-imeni-baumana/,0,0,2024-09-09
51285,Москва глазами писательницы Яны Сороки: о красивых дворцах и неочевидных локациях,null,<p>В рубрике <a href="https://kudago.com/msk/activity/gorod-glazami/">Город глазами</a> мы гуляем по Москве и смотрим на неё глазами наших героев. Новой гостьей стала журналистка и автор книг «Потайные двери Москвы» и «Ключи от Москвы» Яна Сорока. Предлагаем вместе отправиться в виртуальную и реальную прогулку по любимым местам Яны в Москве. Прямо по курсу: красивые особняки и дворцы, необычные и неочевидные места и гастрономические открытия. </p>,https://kudago.com/msk/news/moskva-glazami-pisatelnicy-yany-soroki/,0,0,2024-09-09
51234,Город глазами художника Никаса Сафронова,Place(id=257),<p>В Петропавловской крепости стартовала персональная выставка художника Никаса Сафронова под названием «Большая Любовь к Петербургу». Мы встретились с ним на её открытии и поговорили с ним о том, каким он <a href="https://kudago.com/spb/activity/gorod-glazami/">видит</a> <a href="https://kudago.com/spb/" title="афиша спб">Северную столицу</a>. Вот что из этого получилось.</p>,https://kudago.com/all/news/gorod-glazami-hudozhnika-nikasa/,0,0,2024-09-09
51304,В Москве открыли первый участок Троицкой линии метро,null,<p>В него вошли четыре станции.</p>,https://kudago.com/msk/news/v-moskve-otkryili-pervyij-uchastok/,0,0,2024-09-09
51303,Погода в Москве на 09 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-09-sentyabrya-09-09-2024/,0,0,2024-09-09
51302,Погода в Москве на 08 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-08-sentyabrya-08-09-2024/,0,0,2024-09-08
51301,Погода в Москве на 07 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-07-sentyabrya-07-09-2024/,0,0,2024-09-07
51300,Москва лидирует в списке городов, где живут одиночки,null,<p>Тренд на самостоятельную жизнь набирает обороты.</p>,https://kudago.com/all/news/moskva-lidiruet-v-spiske/,0,0,2024-09-06
51299,Вышел новый трейлер сказочного мюзикла «Злая» с Ариной Гранде,null,<p>Премьера ожидается в конце осени.</p>,https://kudago.com/all/news/vyishel-novyij-trejler-skazochnogo/,0,0,2024-09-06
51298,Linkin Park анонсировали тур и новый альбом,null,<p>У группы новые вокалистка и барабанщик.</p>,https://kudago.com/all/news/linkin-park-anonsirovali-tur-i/,0,0,2024-09-06
51297,На Лужнецкой набережной откроют подземную парковку с живыми растениями,null,<p>Её украсят восемь «оазисов».</p>,https://kudago.com/msk/news/na-luzhnetskoj-naberezhnoj-otkroyut/,0,0,2024-09-06
51296,В Москве два дня подряд наблюдают рекордное атмосферное давление,null,<p>В столицу пришёл мощный антициклон.</p>,https://kudago.com/msk/news/v-moskve-dva-dnya-podryad/,0,0,2024-09-06
51293,НА МЦД-4 изменят расписание в выходные,null,<p>Виной тому ремонт инфраструктуры Киевского вокзала. </p>,https://kudago.com/msk/news/na-mtsd-4-izmenyat-raspisanie-v-vyhodnye/,0,0,2024-09-06
51291,Московское метро будет работать дольше в День города,null,<p>Ночные автобусы продолжат курсировать по расписанию.</p>,https://kudago.com/msk/news/moskovskoe-metro-budet-rabotat/,0,0,2024-09-06
51288,Погода в Москве на 06 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-06-sentyabrya-06-09-2024/,0,0,2024-09-06
51287,Жители Подмосковья смогут сдать лишние яблоки и бахчевые культуры,null,<p>Их передадут нуждающимся фермерам.</p>,https://kudago.com/msk/news/zhiteli-podmoskovya-smogut-sdat/,0,0,2024-09-05
